"variable","period","value","fill","pattern","lbl","plbl","nlbl"
"Headline PCEPI","12-month",2.7728523632629,"headline","other","12-month
2.8%","12-month
2.8%",
"Core PCEPI","12-month",2.79117794162727,"core","other","12-month
2.8%","12-month
2.8%",
"Headline PCEPI","6-month",2.7292440405541,"headline","other","6-month
2.7%","6-month
2.7%",
"Core PCEPI","6-month",2.61163333731294,"core","other","6-month
2.6%","6-month
2.6%",
"Headline PCEPI","3-month",2.53768330892434,"headline","other","3-month
2.5%","3-month
2.5%",
"Core PCEPI","3-month",2.25375550460145,"core","other","3-month
2.3%","3-month
2.3%",
"Headline PCEPI","1-month",2.51627985934075,"headline","other","1-month
2.5%","1-month
2.5%",
"Core PCEPI","1-month",1.94131803086091,"core","other","1-month
1.9%","1-month
1.9%",
"Headline PCEPI","Pre-pandemic",1.71294244056706,"precovid","precovid","2016-19
Avg","2016-19
Avg",
"Core PCEPI","Pre-pandemic",1.73226078261137,"precovid","precovid","2016-19
Avg","2016-19
Avg",
