"date","variable","value","lbl","plbl","nlbl"
2022-11-01,"Other Services",1.78468170989863,,,
2022-12-01,"Other Services",1.71211435519026,,,
2023-01-01,"Other Services",1.92954831754034,,,
2023-02-01,"Other Services",1.83251908806044,,,
2023-03-01,"Other Services",1.77924315182062,,,
2023-04-01,"Other Services",1.78053955483952,,,
2023-05-01,"Other Services",1.81450996184674,,,
2023-06-01,"Other Services",1.84958326721694,,,
2023-07-01,"Other Services",1.74047557409019,,,
2023-08-01,"Other Services",1.67402922115702,,,
2023-09-01,"Other Services",1.73206972115096,,,
2023-10-01,"Other Services",1.54535313953228,,,
2023-11-01,"Other Services",1.32708274260845,,,
2023-12-01,"Other Services",1.27115044129459,,,
2024-01-01,"Other Services",1.24092482797985,,,
2024-02-01,"Other Services",1.21410014501562,,,
2024-03-01,"Other Services",1.34950278453565,,,
2024-04-01,"Other Services",1.2566897329317,,,
2024-05-01,"Other Services",1.15244600987314,,,
2024-06-01,"Other Services",1.17570382331269,,,
2024-07-01,"Other Services",1.17926143859705,,,
2024-08-01,"Other Services",1.14221822169365,,,
2024-09-01,"Other Services",1.00570767856109,,,
2024-10-01,"Other Services",1.11086464890463,,,
2024-11-01,"Other Services",1.05505796992197,,,
2024-12-01,"Other Services",1.05209029562471,,,
2025-01-01,"Other Services",1.00093836768953,,,
2025-02-01,"Other Services",1.08357251286833,,,
2025-03-01,"Other Services",0.98684449813463,,,
2025-04-01,"Other Services",0.883459665819869,,,
2025-05-01,"Other Services",1.10778533771747,,,
2025-06-01,"Other Services",0.918675139265734,,,
2025-07-01,"Other Services",0.850118751296348,,,
2025-08-01,"Other Services",0.861602449520362,,,
2025-09-01,"Other Services",0.85271503122888,,,
2025-10-01,"Other Services",0.784193352944356,"0.8","0.8",
2025-11-01,"Other Services",0.859112348238675,"0.9","0.9",
2026-04-01,"Other Services",0.55154730886262,"0.6","0.6",
2022-11-01,"Transportation Services",0.751141139897741,,,
2022-12-01,"Transportation Services",0.768052438484979,,,
2023-01-01,"Transportation Services",0.902018388869463,,,
2023-02-01,"Transportation Services",0.881430609738093,,,
2023-03-01,"Transportation Services",0.663296893700855,,,
2023-04-01,"Transportation Services",0.476191919514438,,,
2023-05-01,"Transportation Services",0.467837925615041,,,
2023-06-01,"Transportation Services",0.319370395801169,,,
2023-07-01,"Transportation Services",0.435463300427469,,,
2023-08-01,"Transportation Services",0.352807146098713,,,
2023-09-01,"Transportation Services",0.314360117462559,,,
2023-10-01,"Transportation Services",0.273657526444246,,,
2023-11-01,"Transportation Services",0.374940790856748,,,
2023-12-01,"Transportation Services",0.237722352079191,,,
2024-01-01,"Transportation Services",0.172585951910789,,,
2024-02-01,"Transportation Services",0.152724536709556,,,
2024-03-01,"Transportation Services",0.211975980243276,,,
2024-04-01,"Transportation Services",0.219128283759893,,,
2024-05-01,"Transportation Services",0.184705753939738,,,
2024-06-01,"Transportation Services",0.141367985962162,,,
2024-07-01,"Transportation Services",0.0724039529792418,,,
2024-08-01,"Transportation Services",0.0964963757941263,,,
2024-09-01,"Transportation Services",0.130162805584574,,,
2024-10-01,"Transportation Services",0.185221932973921,,,
2024-11-01,"Transportation Services",0.117098834885848,,,
2024-12-01,"Transportation Services",0.256259702004434,,,
2025-01-01,"Transportation Services",0.25780457375628,,,
2025-02-01,"Transportation Services",0.23435478251381,,,
2025-03-01,"Transportation Services",0.0857350767799657,,,
2025-04-01,"Transportation Services",0.163588876658018,,,
2025-05-01,"Transportation Services",0.185507023118165,,,
2025-06-01,"Transportation Services",0.229720315801643,,,
2025-07-01,"Transportation Services",0.243756988968071,,,
2025-08-01,"Transportation Services",0.276970927347845,,,
2025-09-01,"Transportation Services",0.246848149552609,,,
2025-10-01,"Transportation Services",0.204663178256395,"0.2","0.2",
2025-11-01,"Transportation Services",0.214054525736733,"0.2","0.2",
2026-04-01,"Transportation Services",0.0976236560965242,,"0.1",
2022-11-01,"Food Services & Accommodations",0.995701565209798,,,
2022-12-01,"Food Services & Accommodations",0.943300520234799,,,
2023-01-01,"Food Services & Accommodations",0.989316842106759,,,
2023-02-01,"Food Services & Accommodations",1.02012250056326,,,
2023-03-01,"Food Services & Accommodations",1.08075147718515,,,
2023-04-01,"Food Services & Accommodations",1.01275355687932,,,
2023-05-01,"Food Services & Accommodations",0.989744175180181,,,
2023-06-01,"Food Services & Accommodations",0.961760805209881,,,
2023-07-01,"Food Services & Accommodations",0.921167281457162,,,
2023-08-01,"Food Services & Accommodations",0.810850492242564,,,
2023-09-01,"Food Services & Accommodations",0.856945725101673,,,
2023-10-01,"Food Services & Accommodations",0.675827196667636,,,
2023-11-01,"Food Services & Accommodations",0.647887876416799,,,
2023-12-01,"Food Services & Accommodations",0.621533191527538,,,
2024-01-01,"Food Services & Accommodations",0.639063538954519,,,
2024-02-01,"Food Services & Accommodations",0.538832237284948,,,
2024-03-01,"Food Services & Accommodations",0.473994967875568,,,
2024-04-01,"Food Services & Accommodations",0.492363095328338,,,
2024-05-01,"Food Services & Accommodations",0.449727785123407,,,
2024-06-01,"Food Services & Accommodations",0.439804616903348,,,
2024-07-01,"Food Services & Accommodations",0.443464248974402,,,
2024-08-01,"Food Services & Accommodations",0.516863476434008,,,
2024-09-01,"Food Services & Accommodations",0.413885974063471,,,
2024-10-01,"Food Services & Accommodations",0.4535455305365,,,
2024-11-01,"Food Services & Accommodations",0.512319157978845,,,
2024-12-01,"Food Services & Accommodations",0.472086653622289,,,
2025-01-01,"Food Services & Accommodations",0.43569782876234,,,
2025-02-01,"Food Services & Accommodations",0.480963039697073,,,
2025-03-01,"Food Services & Accommodations",0.404331683654067,,,
2025-04-01,"Food Services & Accommodations",0.434031015732823,,,
2025-05-01,"Food Services & Accommodations",0.445357625822501,,,
2025-06-01,"Food Services & Accommodations",0.412739019812311,,,
2025-07-01,"Food Services & Accommodations",0.406161216583157,,,
2025-08-01,"Food Services & Accommodations",0.42935136385922,,,
2025-09-01,"Food Services & Accommodations",0.453828987220997,,,
2025-10-01,"Food Services & Accommodations",0.422314525535363,"0.4","0.4",
2025-11-01,"Food Services & Accommodations",0.351300417161623,"0.4","0.4",
2026-04-01,"Food Services & Accommodations",0.328012902892694,"0.3","0.3",
2022-11-01,"Health Care",0.888547152745918,,,
2022-12-01,"Health Care",0.839691353735271,,,
2023-01-01,"Health Care",0.643589470848032,,,
2023-02-01,"Health Care",0.669523258805431,,,
2023-03-01,"Health Care",0.733854200403413,,,
2023-04-01,"Health Care",0.893620550031756,,,
2023-05-01,"Health Care",0.885328657706655,,,
2023-06-01,"Health Care",0.701830354569548,,,
2023-07-01,"Health Care",0.777980458024424,,,
2023-08-01,"Health Care",0.712252491892936,,,
2023-09-01,"Health Care",0.674257491959221,,,
2023-10-01,"Health Care",0.747739856052711,,,
2023-11-01,"Health Care",0.790251939789732,,,
2023-12-01,"Health Care",0.810566673719858,,,
2024-01-01,"Health Care",0.996167623425266,,,
2024-02-01,"Health Care",0.966867197965852,,,
2024-03-01,"Health Care",0.919739886084468,,,
2024-04-01,"Health Care",0.806053612253027,,,
2024-05-01,"Health Care",0.805100495615439,,,
2024-06-01,"Health Care",0.862875708751578,,,
2024-07-01,"Health Care",0.767260979277057,,,
2024-08-01,"Health Care",0.805475745877727,,,
